nbjours,Date,Historique de production / factures RE,bilan mensuel,Facteur de charge (par rapport à la puissance en ML),Total puissance,Total ML,Total OA,Production
31,01-01-2007,235624,totale,43.4,730,730,0,245442
28,01-02-2007,264190,totale,53.9,730,730,0,275198
31,01-03-2007,420269,totale,77.4,730,730,0,437780
30,01-04-2007,385 130,totale,73.3,730,730,0,401177
31,01-05-2007,494 586,totale,91.1,730,730,0,515194
30,01-06-2007,502 961,totale,95.7,730,730,0,523918
31,01-07-2007,504 741,totale,92.9,730,730,0,525772
31,01-08-2007,366 898,totale,67.6,730,730,0,382185
30,01-09-2007,310 179,totale,59.0,730,730,0,323103
31,01-10-2007,262 183,totale,48.3,730,730,0,273107
30,01-11-2007,212 827,totale,40.5,730,730,0,221695
31,01-12-2007,334 908,totale,61.7,730,730,0,348862
31,01-01-2008,311 216,totale,57.3,730,730,0,324183
28,01-02-2008,235 189,totale,47.9,730,730,0,244989
31,01-03-2008,291 555,totale,53.7,730,730,0,303703
30,01-04-2008,1 723,totale,0.3,730,730,0,1795
31,01-05-2008,422 403,totale,77.8,730,730,0,440003
30,01-06-2008,504 643,totale,96.0,730,730,0,525670
31,01-07-2008,504 192,totale,92.8,730,730,0,525200
31,01-08-2008,371 733,totale,68.4,730,730,0,387222
30,01-09-2008,432 171,totale,82.2,730,730,0,450178
31,01-10-2008,262 498,totale,48.3,730,730,0,273435
30,01-11-2008,194 784,totale,37.1,730,730,0,202900
31,01-12-2008,262 944,totale,48.4,730,730,0,273900
31,01-01-2009,219 840,totale,40.5,730,730,0,229000
28,01-02-2009,187 872,totale,38.3,730,730,0,195700
31,01-03-2009,194 016,totale,35.7,730,730,0,200100
30,01-04-2009,247 008,totale,47.0,730,730,0,257300
31,01-05-2009,468 864,totale,86.3,730,730,0,488400
30,01-06-2009,449 664,totale,85.6,730,730,0,468400
31,01-07-2009,350 304,totale,64.5,730,730,0,364900
31,01-08-2009,178 848,totale,32.9,730,730,0,186300
30,01-09-2009,109 248,totale,20.8,730,730,0,113800
31,01-10-2009,48 096,totale,8.9,730,730,0,50100
30,01-11-2009,209 184,totale,39.8,730,730,0,217900
31,01-12-2009,302 784,totale,55.7,730,730,0,315400
31,01-01-2010,282 720,totale,52.1,730,730,0,294500
28,01-02-2010,252 288,totale,51.4,730,730,0,262800
31,01-03-2010,248 064,totale,45.7,730,730,0,258400
30,01-04-2010,302 880,totale,57.6,730,730,0,315500
31,01-05-2010,481 152,totale,88.6,730,730,0,501200
